id,source,timestamp,key,value
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:13.566Z,https://w3c-cg.github.io/context-graph/protocol/syn,0b05e43e
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek,https://w3c-cg.github.io/context-graph/demo/systems/jacek,2026-04-01T12:53:13.921Z,https://w3c-cg.github.io/context-graph/protocol/syn-ack,018bd07e:cfb71d20f9ba0b5bdceebb1583e41035ed617895a2a5125325ae14e9a0bafa48
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:14.274Z,https://w3c-cg.github.io/context-graph/protocol/ack,671a9c0c1708d9f8408d9d97b3002e86ec429ea60ef3859178d22d7b07c90024
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:16.754Z,https://w3c-cg.github.io/context-graph/facet/context,"ask:domain,unit-system,measurement-type"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/jacek,2026-04-01T12:53:17.057Z,https://w3c-cg.github.io/context-graph/facet/context,"domain:clinical,units:imperial,type:body-oral"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:17.361Z,https://w3c-cg.github.io/context-graph/facet/context,"verdict:sufficient,mu_c:1,note:domains-differ(HVAC-vs-clinical)"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:17.664Z,https://w3c-cg.github.io/context-graph/facet/meaning,ask:definition-of-temperature
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/jacek,2026-04-01T12:53:17.967Z,https://w3c-cg.github.io/context-graph/facet/meaning,def:patient-body-temperature-oral-reading
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:18.270Z,https://w3c-cg.github.io/context-graph/facet/meaning,"verdict:mismatch,mu_m:1,ron:indoor-air-temperature,jacek:patient-body-temperature"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:18.573Z,https://w3c-cg.github.io/context-graph/facet/structure,"ask:unit,precision,valid-range"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/jacek,2026-04-01T12:53:18.876Z,https://w3c-cg.github.io/context-graph/facet/structure,"unit:fahrenheit,precision:1,range:90-110"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:19.178Z,https://w3c-cg.github.io/context-graph/facet/structure,"verdict:mismatch,mu_s:1,ron:celsius,jacek:fahrenheit"
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:19.482Z,https://w3c-cg.github.io/context-graph/facet/data,ask:current-value
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/jacek,2026-04-01T12:53:19.785Z,https://w3c-cg.github.io/context-graph/facet/data,val:30
https://w3c-context-graph-community-group.github.io/protocol/w3c-cg/demo/boundaries/ron--jacek/temperature,https://w3c-cg.github.io/context-graph/demo/systems/ron,2026-04-01T12:53:20.090Z,https://w3c-cg.github.io/context-graph/facet/data,"verdict:halt,mu_d:undefined,reason:meaning-and-structure-misaligned,note:30F-outside-clinical-range(90-110)-and-30C-is-room-temp-not-body-temp"
